,UID,Type,mean_depth,p90_depth,Class,Area,FloodDmg
4847,1000030080444.0,Residential,0.884,1.294,1,68,33179.0
4848,1000030080323.0,Residential,0.131,0.307,1,53,24624.0
4849,1000030080334.0,Residential,0.017,0.033,0,76,0.0
4850,1000030080328.0,Residential,0.039,0.073,0,62,0.0
4851,1000030080335.0,Residential,0.021,0.044,0,228,0.0
4852,1000030080298.0,Residential,0.073,0.19,0,69,0.0
4853,1000030080435.0,Residential,0.131,0.383,1,71,24624.0
4854,1000030080327.0,Residential,0.052,0.096,0,67,0.0
4855,1000030080305.0,Residential,0.021,0.071,0,69,0.0
4856,1000030080329.0,Residential,0.024,0.052,0,63,0.0
4857,1000030080616.0,Residential,0.007,0.011,0,58,0.0
4858,1000030080297.0,Residential,0.118,0.3,1,65,20497.0
4859,1000030080617.0,Residential,0.013,0.024,0,59,0.0
4860,1000030080300.0,Residential,0.016,0.03,0,68,0.0
4861,1000030080445.0,Residential,0.699,0.821,1,63,27210.0
4862,1000030080289.0,Residential,0.016,0.025,0,83,0.0
4863,1000030080308.0,Residential,0.042,0.106,0,73,0.0
4864,1000030080317.0,Residential,0.003,0.005,0,65,0.0
4865,1000030080337.0,Residential,0.061,0.105,0,111,0.0
4866,1000030080321.0,Residential,0.062,0.246,0,65,0.0
4867,1000030080310.0,Residential,0.18,0.413,1,60,24624.0
4868,1000030080312.0,Residential,0.006,0.012,0,62,0.0
4869,1000030080438.0,Residential,0.331,0.697,1,101,27210.0
4870,1000030080296.0,Residential,0.031,0.07,0,32,0.0
4871,1000030080429.0,Residential,0.437,0.799,1,67,27210.0
4872,1000030080318.0,Residential,0.003,0.005,0,51,0.0
4873,1000030080287.0,Residential,0.016,0.026,0,66,0.0
4874,1000030080302.0,Residential,0.091,0.186,0,68,0.0
4875,1000030080311.0,Residential,0.027,0.05,0,63,0.0
4876,1000030080293.0,Residential,0.095,0.276,0,61,0.0
4877,1000030080299.0,Residential,0.019,0.041,0,64,0.0
4878,1000030080336.0,Residential,0.015,0.039,0,121,0.0
4879,1000030080303.0,Residential,0.069,0.186,0,66,0.0
4880,1000030080331.0,Residential,0.032,0.037,0,27,0.0
4881,1000030080332.0,Residential,0.026,0.036,0,70,0.0
4882,1000030080430.0,Residential,0.262,0.696,1,62,27210.0
4883,1000030080291.0,Residential,0.02,0.033,0,24,0.0
4884,1000030080314.0,Residential,0.004,0.007,0,46,0.0
4885,1000030080434.0,Residential,0.26,0.587,1,74,24624.0
4886,1000030080295.0,Residential,0.076,0.179,0,61,0.0
4887,1000030080306.0,Residential,0.005,0.009,0,71,0.0
4888,1000030081491.0,Residential,,,,67,52632.0
4889,1000030081484.0,Residential,0.012,0.027,0,95,0.0
4890,1000030081489.0,Residential,0.036,0.04,0,99,0.0
4891,1000030081493.0,Residential,,,,63,52632.0
4892,1000030081490.0,Residential,0.031,0.033,0,95,0.0
4893,1000030081488.0,Residential,0.105,0.224,0,103,0.0
4894,1000030081483.0,Residential,0.004,0.006,0,89,0.0
4895,1000030081481.0,Residential,0.009,0.016,0,105,0.0
4896,1000030081482.0,Residential,,,,73,52632.0
4897,1000030081485.0,Residential,0.086,0.218,0,86,0.0
4898,1000030081619.0,Residential,0.011,0.019,0,72,0.0
4899,1000030081478.0,Residential,,,,82,52632.0
4900,1000030081618.0,Residential,0.039,0.065,0,133,0.0
4901,1000030081492.0,Residential,,,,50,52632.0
4902,1000030081480.0,Residential,0.016,0.018,0,103,0.0
4903,1000030081620.0,Residential,0.009,0.017,0,72,0.0
4904,1000030081479.0,Residential,,,,134,52632.0
4905,1000030045750.0,Residential,0.018,0.042,0,93,0.0
4906,1000030045751.0,Residential,0.025,0.028,0,94,0.0
4907,1000030080566.0,Residential,0.109,0.256,0,96,0.0
4908,5000005198307509.0,Residential,0.012,0.048,0,245,0.0
4909,1000030080560.0,Residential,0.027,0.039,0,63,0.0
4910,1000030045754.0,Residential,0.012,0.023,0,94,0.0
4911,1000030045753.0,Residential,0.009,0.022,0,103,0.0
4912,1000030045745.0,Residential,0.016,0.03,0,95,0.0
4913,1000030045744.0,Residential,0.053,0.162,0,95,0.0
4914,1000030045755.0,Residential,0.026,0.061,0,93,0.0
4915,1000030045748.0,Residential,0.017,0.041,0,96,0.0
4916,1000030045752.0,Residential,0.032,0.048,0,97,0.0
4917,1000030045760.0,Residential,0.016,0.036,0,152,0.0
4918,1000030080561.0,Residential,0.038,0.04,0,29,0.0
4919,1000030045759.0,Residential,0.044,0.11,0,124,0.0
4920,1000030080564.0,Residential,0.204,0.639,1,92,27210.0
4921,1000030045756.0,Residential,0.017,0.056,0,93,0.0
4922,1000030045757.0,Residential,0.031,0.037,0,97,0.0
4923,1000002020992364.0,Residential,0.009,0.022,0,126,0.0
4924,1000030080565.0,Residential,0.168,0.313,1,93,24624.0
4925,1000030045762.0,Residential,0.061,0.118,0,157,0.0
4926,1000030045749.0,Residential,0.007,0.016,0,95,0.0
4927,1000030080562.0,Residential,0.051,0.108,0,205,0.0
4928,1000030045746.0,Residential,0.02,0.043,0,100,0.0
4929,1000030080563.0,Residential,0.097,0.124,0,167,0.0
4930,1000030045747.0,Residential,0.026,0.046,0,96,0.0
4931,1000030045743.0,Residential,0.129,0.295,0,92,0.0
4932,5000005202733910.0,Residential,0.03,0.061,0,55,0.0
4933,1000030007039.0,Residential,0.03,0.053,0,16,0.0
4934,1000030007038.0,Residential,0.016,0.059,0,200,0.0
4935,1000030007048.0,Residential,0.004,0.008,0,80,0.0
4936,1000030007040.0,Residential,0.026,0.045,0,23,0.0
4937,1000030006978.0,Residential,0.016,0.021,0,34,0.0
4938,5000005202733781.0,Residential,0.002,0.002,0,15,0.0
4939,1000030007042.0,Residential,0.022,0.053,0,155,0.0
4940,5000005202734581.0,Residential,0.013,0.018,0,17,0.0
4941,1000030007026.0,Residential,0.012,0.025,0,121,0.0
4942,5000005202734090.0,Residential,0.048,0.1,0,16,0.0
4943,1000030007030.0,Residential,0.002,0.003,0,108,0.0
4944,1000030007045.0,Residential,0.005,0.009,0,151,0.0
4945,5000005202734361.0,Residential,0.014,0.024,0,17,0.0
4946,5000005202734309.0,Residential,0.012,0.018,0,67,0.0
4947,1000030007047.0,Residential,0.002,0.004,0,128,0.0
4948,1000030007041.0,Residential,0.031,0.062,0,74,0.0
4949,1000030007027.0,Residential,0.014,0.026,0,152,0.0
4950,1000030007052.0,Residential,0.007,0.019,0,53,0.0
4951,1000030007049.0,Residential,0.003,0.004,0,98,0.0
4952,5000005202734179.0,Residential,0.022,0.034,0,28,0.0
4953,1000030006973.0,Residential,0.034,0.046,0,129,0.0
4954,1000030006981.0,Residential,0.015,0.036,0,92,0.0
4955,1000030006974.0,Residential,0.018,0.019,0,79,0.0
4956,5000005202734525.0,Residential,0.003,0.003,0,148,0.0
4957,1000030006972.0,Residential,0.019,0.039,0,261,0.0
4958,5000005202734064.0,Residential,0.013,0.028,0,150,0.0
4959,1000030080472.0,Retail,0.122,0.202,0,133,0.0
4960,1000030080473.0,Retail,0.11,0.165,0,128,0.0
4961,1000030080479.0,Retail,0.009,0.023,0,76,0.0
4962,1000030080482.0,Retail,0.06,0.163,0,87,0.0
4963,1000030080480.0,Retail,0.033,0.078,0,102,0.0
4964,1000030080475.0,Retail,0.154,0.427,1,89,56960.0
4965,1000030080487.0,Retail,0.006,0.014,0,80,0.0
4966,1000030080474.0,Retail,0.148,0.329,1,129,82560.0
4967,1000030080481.0,Retail,0.103,0.187,0,83,0.0
4968,1000030080477.0,Retail,0.022,0.05,0,72,0.0
4969,1000030080476.0,Retail,0.029,0.062,0,107,0.0
4970,1000030080478.0,Residential,0.034,0.062,0,84,0.0
4971,1000030127509.0,Residential,0.022,0.06,0,1739,0.0
4972,1000030127599.0,Residential,0.012,0.028,0,81,0.0
4973,1000030127577.0,Residential,0.018,0.018,0,7,0.0
4974,1000030127578.0,Residential,0.029,0.066,0,5,0.0
4975,1000002310437015.0,Residential,0.002,0.003,0,8,0.0
4976,1000030127670.0,Residential,0.032,0.06,0,67,0.0
4977,1000030127572.0,Residential,0.008,0.005,0,236,0.0
4978,1000030127560.0,Residential,0.037,0.109,0,70,0.0
4979,1000030127542.0,Residential,0.016,0.043,0,1005,0.0
4980,1000030127583.0,Residential,0.009,0.013,0,79,0.0
4981,1000030127579.0,Residential,0.026,0.058,0,109,0.0
4982,1000030127543.0,Residential,0.01,0.021,0,262,0.0
4983,1000000060077277.0,Residential,,,,3,52632.0
4984,1000030127541.0,Residential,0.009,0.02,0,413,0.0
4985,1000030127600.0,Residential,0.101,0.271,0,189,0.0
4986,1000030127575.0,Residential,0.068,0.176,0,22,0.0
4987,1000030127545.0,Residential,0.005,0.012,0,203,0.0
4988,1000030127582.0,Residential,0.058,0.276,0,558,0.0
4989,1000030127598.0,Residential,0.003,0.005,0,48,0.0
4990,1000030127564.0,Residential,0.007,0.014,0,593,0.0
4991,1000030127597.0,Residential,0.003,0.005,0,106,0.0
4992,1000030127561.0,Residential,0.048,0.148,0,51,0.0
4993,1000030127666.0,Residential,0.033,0.046,0,2,0.0
4994,1000030127566.0,Residential,0.027,0.055,0,17,0.0
4995,1000030127669.0,Residential,0.036,0.089,0,29,0.0
4996,1000030127557.0,Residential,0.013,0.032,0,49,0.0
4997,1000030127595.0,Residential,0.011,0.023,0,149,0.0
4998,5000005205280708.0,Residential,0.026,0.061,0,17,0.0
4999,1000030127614.0,Residential,0.024,0.061,0,73,0.0
5000,1000030127510.0,Residential,0.009,0.017,0,634,0.0
5001,1000030127612.0,Residential,0.052,0.126,0,710,0.0
5002,1000030127574.0,Residential,0.016,0.01,0,297,0.0
5003,1000030127544.0,Residential,0.002,0.003,0,557,0.0
5004,1000030127576.0,Residential,0.018,0.018,0,9,0.0
5005,1000030127664.0,Residential,0.084,0.094,0,2,0.0
5006,1000030127668.0,Residential,0.037,0.094,0,30,0.0
5007,1000030127662.0,Residential,0.044,0.099,0,135,0.0
5008,1000030127596.0,Residential,0.015,0.041,0,103,0.0
5009,1000030127562.0,Residential,0.014,0.023,0,626,0.0
5010,5000005205279953.0,Residential,0.059,0.118,0,103,0.0
5011,1000030127667.0,Residential,0.023,0.043,0,142,0.0
5012,1000030127665.0,Residential,0.029,0.036,0,1,0.0
5013,5000005111221106.0,Residential,0.016,0.028,0,35,0.0
5014,1000030127565.0,Residential,0.007,0.019,0,40,0.0
5015,1000030127567.0,Residential,0.012,0.018,0,170,0.0
5016,1000030127573.0,Residential,0.018,0.042,0,162,0.0
5017,1000030127663.0,Residential,0.09,0.101,0,2,0.0
5018,1000030127581.0,Residential,0.05,0.149,0,583,0.0
5019,1000030127593.0,Residential,0.017,0.041,0,190,0.0
5020,5000005239466276.0,Residential,0.018,0.045,0,650,0.0
5021,1000030127594.0,Residential,0.004,0.007,0,182,0.0
5022,5000005207527034.0,Residential,0.005,0.005,0,11,0.0
5023,5000005131655425.0,Residential,,,,4,52632.0
5024,1000030127294.0,Residential,0.046,0.052,0,14,0.0
5025,1000030127257.0,Residential,0.022,0.048,0,125,0.0
5026,1000030127311.0,Residential,0.006,0.014,0,62,0.0
5027,5000005234383795.0,Residential,0.006,0.009,0,6,0.0
5028,1000030127333.0,Residential,0.012,0.031,0,214,0.0
5029,1000002310386792.0,Residential,,,,3,52632.0
5030,5000005101934848.0,Residential,0.09,0.251,0,389,0.0
5031,1000002310386769.0,Residential,0.023,0.043,0,1,0.0
5032,5000005164593833.0,Residential,0.029,0.035,0,1331,0.0
5033,1000030127368.0,Residential,,,,726,52632.0
5034,1000030127338.0,Residential,1.098,1.308,1,26,33179.0
5035,1000030127331.0,Residential,0.01,0.017,0,183,0.0
5036,1000002310054937.0,Residential,,,,13,52632.0
5037,1000030127319.0,Residential,0.047,0.102,0,59,0.0
5038,1000030127306.0,Residential,0.002,0.002,0,58,0.0
5039,1000030127325.0,Residential,0.037,0.088,0,14,0.0
5040,1000030127342.0,Residential,0.683,1.271,1,172,33179.0
5041,1000030127723.0,Residential,0.018,0.03,0,295,0.0
5042,1000030127328.0,Residential,0.01,0.018,0,26,0.0
5043,1000030127298.0,Residential,0.224,0.476,1,14,24624.0
5044,5000005234383798.0,Residential,,,,8,52632.0
5045,1000030127339.0,Residential,0.999,1.414,1,52,33179.0
5046,1000030127726.0,Residential,0.002,0.003,0,66,0.0
5047,1000030127321.0,Residential,0.003,0.004,0,59,0.0
5048,1000030127656.0,Residential,0.007,0.012,0,303,0.0
5049,1000030127301.0,Residential,0.002,0.003,0,3,0.0
5050,1000030127305.0,Residential,0.003,0.005,0,57,0.0
5051,1000030127375.0,Residential,0.046,0.077,0,200,0.0
5052,1000030127346.0,Residential,0.019,0.034,0,498,0.0
5053,1000030127372.0,Residential,0.025,0.052,0,172,0.0
5054,1000030127344.0,Residential,0.562,0.786,1,35,27210.0
5055,1000002310386766.0,Residential,0.007,0.011,0,15,0.0
5056,1000030127295.0,Residential,0.054,0.056,0,14,0.0
5057,1000030127729.0,Residential,0.037,0.099,0,93,0.0
5058,1000030127371.0,Residential,,,,13,52632.0
5059,1000030127335.0,Residential,0.005,0.008,0,160,0.0
5060,1000030127453.0,Residential,0.036,0.082,0,733,0.0
5061,1000030127340.0,Residential,0.708,1.447,1,180,33179.0
5062,1000030127454.0,Residential,0.42,1.217,1,493,33179.0
5063,1000030127345.0,Residential,0.254,0.719,1,136,27210.0
