OBJECTID,os_topo_to,os_topo_ve,bha_proces,tileref,abshmin,absh2,abshmax,relh2,relhmax,bha_conf,layer,path,UID,area,Type
7070,osgb1000030011621,3,00:00.0,NZ2065,109.4,115.7,118.9,6.3,9.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,54,Residential
7071,osgb1000030010987,3,00:00.0,NZ2065,98.8,102,102.2,3.2,3.4,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,25,Residential
7072,osgb1000030011151,3,00:00.0,NZ2065,98.6,100.9,102.3,2.3,3.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,10,Residential
7074,osgb5000005210209788,1,00:00.0,NZ2065,106.1,108.3,110.7,2.2,4.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,87,Residential
7075,osgb5000005210209915,1,00:00.0,NZ2065,103.1,104.9,105.6,1.8,2.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,21,Residential
7078,osgb1000030010994,2,00:00.0,NZ2065,98.8,104.5,108.9,5.7,10.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,72,Residential
7079,osgb1000030011252,3,00:00.0,NZ2065,116.3,122.4,124.3,6.1,8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,35,Residential
7081,osgb1000042879402,2,00:00.0,NZ2065,113.9,116.8,119.1,2.9,5.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,60,Residential
7082,osgb1000030010911,3,00:00.0,NZ2065,99.3,105.6,109,6.3,9.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,71,Residential
7083,osgb1000030010923,3,00:00.0,NZ2065,100.1,106.4,110.1,6.3,10,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,68,Residential
7084,osgb5000005202734629,1,00:00.0,NZ2065,111,113.3,113.8,2.3,2.8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,15,Residential
7086,osgb1000030009465,2,00:00.0,NZ2065,98.9,106,109.5,7.1,10.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,102,Residential
7087,osgb1000030010773,2,00:00.0,NZ2065,100,102.2,102.7,2.2,2.7,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,15,Residential
7090,osgb1000042879394,2,00:00.0,NZ2065,118.4,121.3,123.6,2.9,5.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,63,Residential
7093,osgb5000005202734085,1,00:00.0,NZ2065,107.3,113.3,115.5,6,8.2,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,94,Residential
7094,osgb5000005202734603,1,00:00.0,NZ2065,101.1,103.6,103.7,2.5,2.6,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,5.00E+15,3,Residential
7095,osgb1000030011412,3,00:00.0,NZ2065,108.4,114.4,118.3,6,9.9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,132,Residential
7096,osgb1000030011660,4,00:00.0,NZ2065,108.8,114.5,117.9,5.7,9.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,59,Residential
7097,osgb1000038612349,3,00:00.0,NZ2065,112.6,118.2,121.6,5.6,9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,61,Residential
7100,osgb1000030010215,3,00:00.0,NZ2065,104.3,111.3,115.4,7,11.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,83,Residential
7101,osgb1000030009486,2,00:00.0,NZ2065,101.5,107.9,113.6,6.4,12.1,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,136,Residential
7106,osgb1000030011551,3,00:00.0,NZ2065,106.8,112.6,115.8,5.8,9,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,73,Residential
7108,osgb1000030011695,3,00:00.0,NZ2065,109.8,115.6,118.3,5.8,8.5,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,81,Residential
7109,osgb1000030010476,3,00:00.0,NZ2065,106.6,112.9,116.4,6.3,9.8,99,buildings_nz2065,C:/Users/b8056898/OneDrive - Newcastle University/PhD_CI/Flood_Risk/data/EDINA_data/mastermap_building_heights_4197189/nz/nz2065.gdb|layername=buildings_nz2065,1.00E+12,102,Residential
