UID,area,Type
1.00E+12,53,Offices
5.00E+15,22,Offices
1.00E+12,75,Offices
1.00E+12,17,Offices
1.00E+12,2,Offices
5.00E+15,221,Offices
1.00E+12,103,Offices
5.00E+15,8,Offices
1.00E+12,524,Offices
1.00E+12,116,Offices
5.00E+15,48,Offices
1.00E+12,3,Offices
5.00E+15,123,Offices
1.00E+12,182,Offices
5.00E+15,66,Offices
1.00E+12,213,Offices
5.00E+15,13,Offices
1.00E+12,20,Offices
1.00E+15,30,Offices
1.00E+12,12,Offices
1.00E+12,894,Offices
1.00E+12,64,Offices
1.00E+12,58,Offices
1.00E+12,17,Offices
5.00E+15,39,Offices
1.00E+12,66,Offices
1.00E+12,76,Offices
1.00E+12,361,Offices
5.00E+15,202,Offices
1.00E+12,11,Offices
5.00E+15,100,Offices
1.00E+12,7,Offices
1.00E+12,66,Offices
1.00E+12,40,Offices
1.00E+12,3,Offices
5.00E+15,22,Offices
1.00E+12,229,Offices
5.00E+15,22,Offices
1.00E+12,17,Offices
5.00E+15,25,Offices
5.00E+15,9,Offices
1.00E+12,90,Offices
1.00E+12,939,Offices
5.00E+15,21,Offices
1.00E+12,33,Offices
5.00E+15,1132,Offices
1.00E+12,51,Offices
1.00E+12,17,Offices
1.00E+12,14,Offices
1.00E+12,457,Offices
1.00E+12,19,Offices
1.00E+12,924,Offices
1.00E+12,262,Offices
5.00E+15,16,Offices
5.00E+15,12,Offices
5.00E+15,22,Offices
5.00E+15,12,Offices
1.00E+12,122,Offices
1.00E+15,50,Offices
1.00E+12,109,Offices
1.00E+12,17,Offices
5.00E+15,144,Offices
5.00E+15,11,Offices
5.00E+15,10,Offices
1.00E+12,89,Offices
1.00E+12,19,Offices
5.00E+15,1748,Offices
1.00E+12,17,Offices
5.00E+15,5,Offices
1.00E+15,1331,Offices
5.00E+15,44,Offices
5.00E+15,3,Offices
1.00E+12,20,Offices
1.00E+12,19,Offices
1.00E+12,42,Offices
1.00E+12,89,Offices
1.00E+12,86,Offices
1.00E+12,4,Offices
1.00E+12,50,Offices
1.00E+15,1942,Offices
1.00E+12,107,Offices
1.00E+12,32,Offices
1.00E+12,458,Offices
1.00E+12,752,Offices
1.00E+12,82,Offices
5.00E+15,6,Offices
1.00E+12,128,Offices
1.00E+12,66,Offices
1.00E+12,43,Offices
5.00E+15,87,Offices
1.00E+12,39,Offices
1.00E+12,72,Offices
5.00E+15,19,Offices
1.00E+12,417,Offices
1.00E+12,478,Offices
1.00E+12,121,Offices
5.00E+15,13,Offices
1.00E+12,62,Offices
5.00E+15,22,Offices
1.00E+15,562,Offices
1.00E+12,17,Offices
1.00E+12,31,Offices
1.00E+15,31,Offices
5.00E+15,3,Offices
5.00E+15,8,Offices
1.00E+12,4,Offices
1.00E+12,10,Offices
5.00E+15,4,Offices
5.00E+15,10,Offices
1.00E+12,7,Offices
5.00E+15,230,Offices
1.00E+12,467,Offices
5.00E+15,22,Offices
5.00E+15,4,Offices
5.00E+15,22,Offices
1.00E+12,21,Offices
1.00E+12,90,Offices
5.00E+15,22,Offices
1.00E+12,86,Offices
1.00E+12,75,Offices
1.00E+12,17,Offices
1.00E+12,77,Offices
1.00E+12,17,Offices
5.00E+15,15,Offices
1.00E+12,59,Offices
1.00E+12,156,Offices
5.00E+15,33,Offices
1.00E+12,393,Offices
1.00E+12,189,Offices
1.00E+12,16,Offices
5.00E+15,15,Offices
5.00E+15,17,Offices
1.00E+12,35,Offices
1.00E+12,81,Offices
5.00E+15,39,Offices
1.00E+12,176,Offices
1.00E+12,6,Offices
5.00E+15,34,Offices
5.00E+15,63,Offices
1.00E+12,782,Offices
1.00E+15,28,Offices
5.00E+15,18,Offices
1.00E+12,89,Offices
1.00E+12,67,Offices
1.00E+12,17,Offices
1.00E+15,93,Offices
1.00E+12,234,Offices
5.00E+15,213,Offices
1.00E+12,61,Offices
5.00E+15,36,Offices
1.00E+12,87,Offices
1.00E+15,127,Offices
1.00E+15,45,Offices
1.00E+12,4073,Offices
1.00E+12,2371,Offices
1.00E+12,67,Offices
1.00E+12,561,Offices
1.00E+12,835,Offices
1.00E+12,62,Offices
5.00E+15,48,Offices
5.00E+15,4,Offices
5.00E+15,27,Offices
5.00E+15,22,Offices
5.00E+15,22,Offices
1.00E+12,51,Offices
1.00E+12,21,Offices
1.00E+12,86,Offices
1.00E+12,33,Offices
5.00E+15,14,Offices
1.00E+15,55,Offices
1.00E+12,28,Offices
1.00E+12,1278,Offices
1.00E+12,28,Offices
1.00E+12,12,Offices
1.00E+12,129,Offices
1.00E+12,56,Offices
5.00E+15,240,Offices
1.00E+15,60,Offices
1.00E+15,76,Offices
1.00E+12,18,Offices
1.00E+12,103,Offices
1.00E+12,91,Offices
1.00E+12,70,Offices
5.00E+15,4,Offices
1.00E+12,14,Offices
5.00E+15,9,Offices
1.00E+15,453,Offices
1.00E+15,25,Offices
1.00E+12,809,Offices
1.00E+12,1123,Offices
5.00E+15,122,Offices
5.00E+15,14,Offices
1.00E+12,36,Offices
1.00E+12,77,Offices
1.00E+12,58,Offices
5.00E+15,8,Offices
1.00E+12,222,Offices
1.00E+12,26,Offices
1.00E+12,72,Offices
5.00E+15,17,Offices
5.00E+15,25,Offices
1.00E+12,79,Offices
1.00E+12,4,Offices
1.00E+12,66,Offices
1.00E+12,3,Offices
1.00E+15,76,Offices
5.00E+15,1361,Offices
5.00E+15,49,Offices
1.00E+12,53,Offices
1.00E+12,68,Offices
1.00E+12,1016,Offices
1.00E+15,12,Offices
5.00E+15,41,Offices
1.00E+12,85,Offices
1.00E+12,71,Offices
1.00E+12,8,Offices
1.00E+12,707,Offices
1.00E+12,134,Offices
5.00E+15,63,Offices
1.00E+12,171,Offices
5.00E+15,11,Offices
1.00E+12,1882,Offices
5.00E+15,5,Offices
1.00E+12,440,Offices
1.00E+12,25,Offices
1.00E+12,17,Offices
1.00E+12,74,Offices
5.00E+15,81,Offices
1.00E+12,386,Offices
5.00E+15,78,Offices
5.00E+15,192,Offices
5.00E+15,78,Offices
5.00E+15,42,Offices
1.00E+12,83,Offices
1.00E+12,4305,Offices
5.00E+15,15,Offices
5.00E+15,1482,Offices
1.00E+12,7,Offices
1.00E+12,141,Offices
1.00E+12,830,Offices
5.00E+15,103,Offices
1.00E+12,20,Offices
1.00E+12,74,Offices
5.00E+15,11,Offices
5.00E+15,4,Offices
1.00E+12,8,Offices
5.00E+15,28,Offices
1.00E+12,4,Offices
1.00E+12,983,Offices
1.00E+12,2,Offices
1.00E+12,5,Offices
1.00E+12,3,Offices
1.00E+12,67,Offices
1.00E+12,53,Offices
5.00E+15,422,Offices
1.00E+15,6,Offices
5.00E+15,31,Offices
5.00E+15,26,Offices
5.00E+15,19,Offices
5.00E+15,386,Offices
1.00E+12,4,Offices
5.00E+15,15,Offices
1.00E+12,3104,Offices
5.00E+15,4,Offices
5.00E+15,146,Offices
1.00E+12,425,Offices
1.00E+12,487,Offices
1.00E+12,16,Offices
5.00E+15,45,Offices
1.00E+15,2,Offices
1.00E+12,77,Offices
1.00E+12,2836,Offices
1.00E+12,928,Offices
5.00E+15,142,Offices
1.00E+12,3,Offices
1.00E+15,10,Offices
1.00E+12,25,Offices
5.00E+15,2789,Offices
5.00E+15,6,Offices
1.00E+12,269,Offices
1.00E+12,4,Offices
1.00E+12,404,Offices
5.00E+15,1378,Offices
1.00E+12,108,Offices
